Network	Precision (PPV)	Recall (Sn)	F-measure	Accuracy	MMR	Jaccard Index	Covered Rate	Total Score
BIOGRID_humain	0.0099	0.9685	0.0196	0.0980	0.1396	0.0763	0.0098	0.2454
BIOGRID_levure	0.0168	0.9885	0.0331	0.1290	0.1942	0.1071	0.0081	0.3425
DIP_levure	0.0107	0.9881	0.0211	0.1027	0.2804	0.2042	0.0202	0.5259
STRING_humain	0.0075	0.9759	0.0150	0.0857	0.1317	0.1019	0.0399	0.2885
STRING_levure	0.0145	0.9801	0.0285	0.1191	0.0656	0.0430	0.0033	0.1403
