Network	Precision (PPV)	Recall (Sn)	F-measure	Accuracy	MMR	Jaccard Index	Covered Rate	Total Score
BIOGRID_humain	0.4358	0.5521	0.4871	0.4906	0.3589	0.2754	0.7717	1.8931
BIOGRID_levure	0.2721	0.6738	0.3876	0.4282	0.2519	0.1979	0.9065	1.7440
DIP_levure	0.2393	0.5809	0.3390	0.3729	0.2065	0.1674	0.7980	1.5109
STRING_humain	0.2539	0.7183	0.3752	0.4271	0.2420	0.1804	0.8714	1.6690
STRING_levure	0.2147	0.8880	0.3458	0.4367	0.2194	0.1673	0.9279	1.6605
