complex_id	proteins
220	P11412 P46367 P54115
221	P32791 P35192 P36033
222	P16661 P38179 P53954
223	P15367 Q04969 Q12133
224	P32791 P35192 P36033
225	P22135 P40491 Q03028
226	P15367 Q04969 Q12133
227	P38969 P40990 P53239
228	P43124 Q05541 Q07913
229	P15367 Q04969 Q12133
230	P32804 P34240 Q12436
231	P11412 P46367 P54115
232	P04806 P04807 P17709
233	P32791 P35192 P36033
234	O13525 P27680 P53318
235	P38969 P40990 P53239
236	P38969 P40990 P53239
237	O13525 P27680 P53318
238	P16661 P38179 P53954
239	P04806 P04807 P17709
240	O13525 P27680 P53318
241	P22354 P38064 Q06090
242	P32804 P34240 Q12436
243	P32804 P34240 Q12436
244	P04806 P04807 P17709
245	P38969 P40990 P53239
246	P32804 P34240 Q12436
247	O13525 P27680 P53318
248	P04806 P04807 P17709
249	P15367 Q04969 Q12133
250	P16661 P38179 P53954
251	P15367 Q04969 Q12133
252	P32791 P35192 P36033
253	O13525 P27680 P53318
254	P04806 P04807 P17709
255	P38969 P40990 P53239
256	P04806 P04807 P17709
257	P00424 P00427 P07255
258	P15367 Q04969 Q12133
259	P11412 P46367 P54115
260	P04806 P04807 P17709
261	O13525 P27680 P53318
262	P15367 Q04969 Q12133
263	P22135 P40491 Q03028
264	O13525 P27680 P53318
265	P15367 Q04969 Q12133
266	O13525 P27680 P53318
267	P43124 Q05541 Q07913
268	P43124 Q05541 Q07913
269	O13525 P27680 P53318
270	P14693 P50110 P53969
271	O13525 P27680 P53318
272	P38969 P40990 P53239
273	P32791 P35192 P36033
274	P38969 P40990 P53239
275	P04806 P04807 P17709
276	P00424 P00427 P07255
277	O13525 P27680 P53318
278	P22354 P38064 Q06090
279	P35734 P36162 Q03954 Q12248
280	P38969 P40990 P53239
281	P38969 P40990 P53239
282	P22135 P40491 Q03028
283	P11412 P46367 P54115
284	P15367 Q04969 Q12133
285	P43124 Q05541 Q07913
286	P15367 Q04969 Q12133
287	P15367 Q04969 Q12133
288	P35734 P36162 Q03954 Q12248
289	P00424 P00427 P07255
290	P38969 P40990 P53239
291	O13525 P27680 P53318
292	P32804 P34240 Q12436
293	O13525 P27680 P53318
294	P38969 P40990 P53239
295	P11412 P46367 P54115
296	P15367 Q04969 Q12133
297	O13525 P27680 P53318
298	P04806 P04807 P17709
299	P16661 P38179 P53954
300	P15367 Q04969 Q12133
301	O13525 P27680 P53318
