f_mesure,PPV,Recall(Sn),accuracy,jaccard_index,mmr,cr,total_score,fitness,avg
0.3174595840786056,0.19608549283645188,0.833195706028076,0.40419993894820266,0.16243466257389028,0.270707680739395,0.7983539094650206,1.5489558368569112,1.6111061709945391,1.5040424655137434
0.49758185679902983,0.4224177860120426,0.6052848885218828,0.5056511668294258,0.32935492279732115,0.4171598661454218,0.6748971193415638,1.9189937650833366,1.806574343787486,1.521311885478088
0.29485684221768865,0.2184778100373289,0.45334434351775393,0.31471523535502605,0.15807660286809044,0.21928766239108644,0.41975308641975306,1.0919741938966185,1.8666784771944278,1.5402853325459676
0.44919197166779473,0.44752929190015284,0.4508670520231214,0.449195071804018,0.33523474677797965,0.412753104566048,0.4732510288065844,1.6704308518184068,1.9099108756275558,1.5610538179364457
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.5896152781217652
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.6120759260284017
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.6365161607373107
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.6542806537823465
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.6815578586595532
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.7068577689711841
0.29258006776616047,0.24680220815941833,0.3592072667217176,0.29774678270945104,0.17281396568868712,0.21180551405449302,0.36213991769547327,1.0393394652048138,2.1001868966400665,1.7278700159857951
0.3517560243730671,0.43243243243243246,0.29644921552436004,0.35804225359849,0.2641156151301609,0.3247161200927503,0.32510288065843623,1.2656906402544146,2.2171245194769194,1.7593981911247265
0.3517560243730671,0.43243243243243246,0.29644921552436004,0.35804225359849,0.2641156151301609,0.3247161200927503,0.32510288065843623,1.2656906402544146,2.2171245194769194,1.7812974549594163
0.3517560243730671,0.43243243243243246,0.29644921552436004,0.35804225359849,0.2641156151301609,0.3247161200927503,0.32510288065843623,1.2656906402544146,2.2171245194769194,1.8035450019382335
0.3517560243730671,0.43243243243243246,0.29644921552436004,0.35804225359849,0.2641156151301609,0.3247161200927503,0.32510288065843623,1.2656906402544146,2.2171245194769194,1.8268396500310067
0.3517560243730671,0.43243243243243246,0.29644921552436004,0.35804225359849,0.2641156151301609,0.3247161200927503,0.32510288065843623,1.2656906402544146,2.2171245194769194,1.8510430548025578
0.24354800767940749,0.2785673678226265,0.21635012386457472,0.24549558964073834,0.1613490428222571,0.1928332078952119,0.23868312757201646,0.8364133859688929,2.3109978339944184,1.8826969492636074
0.24354800767940749,0.2785673678226265,0.21635012386457472,0.24549558964073834,0.1613490428222571,0.1928332078952119,0.23868312757201646,0.8364133859688929,2.3109978339944184,1.9085752324759364
0.24354800767940749,0.2785673678226265,0.21635012386457472,0.24549558964073834,0.1613490428222571,0.1928332078952119,0.23868312757201646,0.8364133859688929,2.3109978339944184,1.929290981957357
0.24354800767940749,0.2785673678226265,0.21635012386457472,0.24549558964073834,0.1613490428222571,0.1928332078952119,0.23868312757201646,0.8364133859688929,2.3109978339944184,1.9569965633515984
0.24745414099177782,0.29049003322259137,0.21552436003303055,0.2502152643350777,0.1799541501582318,0.21256937874350287,0.24691358024691357,0.886891250140426,2.3305297399945557,1.9869962234685943
0.24745414099177782,0.29049003322259137,0.21552436003303055,0.2502152643350777,0.1799541501582318,0.21256937874350287,0.24691358024691357,0.886891250140426,2.3305297399945557,2.01085241156049
0.1985194120775264,0.27020474137931033,0.1568951279933939,0.20589756551044694,0.16775131841114246,0.19121785480481293,0.16049382716049382,0.7179824124539755,2.4729919928767785,2.0467774408491395
0.1985194120775264,0.27020474137931033,0.1568951279933939,0.20589756551044694,0.16775131841114246,0.19121785480481293,0.16049382716049382,0.7179824124539755,2.4729919928767785,2.076215606859679
0.1985194120775264,0.27020474137931033,0.1568951279933939,0.20589756551044694,0.16775131841114246,0.19121785480481293,0.16049382716049382,0.7179824124539755,2.4729919928767785,2.1066558109847273
0.1985194120775264,0.27020474137931033,0.1568951279933939,0.20589756551044694,0.16775131841114246,0.19121785480481293,0.16049382716049382,0.7179824124539755,2.4729919928767785,2.1330182757594494
0.06036751519668351,0.1265625,0.03963666391412056,0.07082736248534802,0.10980420112156639,0.12074767120901105,0.07407407407407407,0.36499346160133506,2.6278063156173865,2.1653700689218023
0.06036751519668351,0.1265625,0.03963666391412056,0.07082736248534802,0.10980420112156639,0.12074767120901105,0.07407407407407407,0.36499346160133506,2.6278063156173865,2.1879985413113876
0.06036751519668351,0.1265625,0.03963666391412056,0.07082736248534802,0.10980420112156639,0.12074767120901105,0.07407407407407407,0.36499346160133506,2.6278063156173865,2.2028672354470054
0.0488756819089014,0.11047619047619048,0.03137902559867878,0.058878138633935206,0.09324649859943979,0.10057394927638731,0.053497942386831275,0.2961940721715598,2.7250067428828353,2.2352677901232556
0.0488756819089014,0.11047619047619048,0.03137902559867878,0.058878138633935206,0.09324649859943979,0.10057394927638731,0.053497942386831275,0.2961940721715598,2.7250067428828353,2.2552008125444463
