SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore	AvgFF	MaxFF	FSFitness
1	EWCA	ss_threshold=0.72	1468	305	0.1951	0.9665	0.3247	0.9967	0.4343	0.3085	0.2008	1.8307	0.0000	0.0000	0.0000
2	EWCA	ss_threshold=0.76	1345	305	0.1954	0.9620	0.3248	0.9836	0.4336	0.3169	0.2072	1.8325	0.0000	0.0000	0.0000
3	SEDMTG	iteration_1	1338	305	0.1925	0.7761	0.3085	0.6852	0.3866	0.2225	0.1546	1.3709	2.0210	3.7679	2704.1052
4	SEDMTG	iteration_2	1341	305	0.1927	0.7523	0.3068	0.6590	0.3807	0.2216	0.1540	1.3413	2.0213	3.7679	2710.6245
5	MPCC	filter_threshold=0.90	767	305	0.2196	0.9447	0.3564	0.9574	0.4555	0.2896	0.1968	1.8001	0.0000	0.0000	0.0000
6	MPCC	filter_threshold=1.00	895	305	0.1920	0.9505	0.3195	0.9574	0.4272	0.2950	0.1929	1.7648	0.0000	0.0000	0.0000
