SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore	AvgFF	MaxFF	FSFitness
1	EWCA	ss_threshold=0.72	401	246	0.3902	0.6541	0.4888	0.7114	0.5052	0.3833	0.2937	1.8772	0.0000	0.0000	0.0000
2	EWCA	ss_threshold=0.76	326	246	0.4200	0.5770	0.4862	0.6016	0.4923	0.3867	0.3009	1.7754	0.0000	0.0000	0.0000
3	SEDMTG	iteration_1	1581	246	0.1971	0.8320	0.3187	0.7967	0.4050	0.2734	0.1640	1.5529	1.6076	3.5799	2541.6838
4	SEDMTG	iteration_2	1579	246	0.1967	0.8311	0.3181	0.7967	0.4043	0.2744	0.1651	1.5544	1.6080	3.5799	2539.0221
5	MPCC	filter_threshold=0.90	957	246	0.2652	0.8746	0.4070	0.9797	0.4816	0.3589	0.2366	1.9822	0.0000	0.0000	0.0000
6	MPCC	filter_threshold=1.00	1022	246	0.2479	0.8754	0.3863	0.9797	0.4658	0.3656	0.2361	1.9677	0.0000	0.0000	0.0000
