SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore	AvgFF	MaxFF	FSFitness
1	EWCA	ss_threshold=0.72	279	198	0.4086	0.6080	0.4888	0.6768	0.4984	0.4047	0.3275	1.8977	0.0000	0.0000	0.0000
2	EWCA	ss_threshold=0.76	244	198	0.4184	0.5722	0.4834	0.6364	0.4893	0.3974	0.3248	1.8419	0.0000	0.0000	0.0000
3	SEDMTG	iteration_1	2150	198	0.0952	0.8404	0.1710	0.7323	0.2828	0.2817	0.1784	1.3634	1.4677	2.9285	3155.5499
4	SEDMTG	iteration_2	2178	198	0.0958	0.8404	0.1719	0.7323	0.2837	0.2827	0.1791	1.3660	1.4679	2.9285	3197.1862
5	MPCC	filter_threshold=0.90	795	198	0.1685	0.8426	0.2808	0.9646	0.3768	0.3119	0.2119	1.7692	0.0000	0.0000	0.0000
6	MPCC	filter_threshold=1.00	817	198	0.1559	0.8458	0.2633	0.9596	0.3631	0.3201	0.2147	1.7577	0.0000	0.0000	0.0000
