SolutionID	Method	Parameters	DetectedComplexes	KnownComplexes	PPV	Recall	F-measure	CoverageRate	Accuracy	MMR	Jaccard	TotalScore	AvgFF	MaxFF	FSFitness
1	EWCA	ss_threshold=0.72	627	1524	0.5345	0.6015	0.5660	0.5138	0.5670	0.6445	0.5185	2.2428	0.0000	0.0000	0.0000
2	EWCA	ss_threshold=0.76	472	1524	0.5251	0.5368	0.5309	0.4416	0.5309	0.6431	0.5229	2.1385	0.0000	0.0000	0.0000
3	SEDMTG	iteration_1	1771	1524	0.3163	0.7247	0.4404	0.5446	0.4788	0.5563	0.3946	1.9359	1.7715	3.3974	3137.3195
4	SEDMTG	iteration_2	1762	1524	0.3167	0.7208	0.4401	0.5413	0.4778	0.5561	0.3942	1.9317	1.7723	3.3974	3122.8261
5	MPCC	filter_threshold=0.90	3163	1524	0.3984	0.8063	0.5333	0.9606	0.5668	0.4909	0.3267	2.3116	0.0000	0.0000	0.0000
6	MPCC	filter_threshold=1.00	3548	1524	0.4224	0.8116	0.5556	0.9593	0.5855	0.5123	0.3436	2.3708	0.0000	0.0000	0.0000
