f_mesure,PPV,Recall(Sn),accuracy,jaccard_index,mmr,cr,total_score,fitness,avg
0.23026614112804772,0.2027363184079602,0.26644736842105265,0.2324189289261389,0.12878932803485232,0.20579379565970354,0.38974358974358975,0.9545928545661934,1.3483592231384236,1.2997588319184168
0.2774156250622969,0.39118457300275483,0.2149122807017544,0.28994890715325,0.20298023517363137,0.2683558877636506,0.36923076923076925,1.1179825172303481,1.9674930875700867,1.3296484857413815
0.26905241981996114,0.3566265060240964,0.21600877192982457,0.27755081265218673,0.200353561574034,0.25846059130505084,0.3384615384615385,1.0663281111605845,2.017750548130304,1.3613578713692132
0.21976149914821122,0.36134453781512604,0.15789473684210525,0.23886063030070795,0.1988268994002939,0.2718904744840219,0.3384615384615385,1.0289404114940655,2.020393915504818,1.392796324829478
0.26926732509607837,0.4186046511627907,0.19846491228070176,0.2882331267798985,0.23218115948379103,0.30496908110570037,0.31794871794871793,1.1243662836342878,2.0800037837606085,1.4265060552058635
0.26926732509607837,0.4186046511627907,0.19846491228070176,0.2882331267798985,0.23218115948379103,0.30496908110570037,0.31794871794871793,1.1243662836342878,2.0800037837606085,1.4559256957214683
0.26926732509607837,0.4186046511627907,0.19846491228070176,0.2882331267798985,0.23218115948379103,0.30496908110570037,0.31794871794871793,1.1243662836342878,2.0800037837606085,1.489080138802489
0.26926732509607837,0.4186046511627907,0.19846491228070176,0.2882331267798985,0.23218115948379103,0.30496908110570037,0.31794871794871793,1.1243662836342878,2.0800037837606085,1.5217985383172898
0.3064313490876458,0.466824644549763,0.22807017543859648,0.3262955387091967,0.25954318790453246,0.332077865483025,0.3282051282051282,1.2262575306803314,2.1264147422110824,1.5569820185912322
0.3064313490876458,0.466824644549763,0.22807017543859648,0.3262955387091967,0.25954318790453246,0.332077865483025,0.3282051282051282,1.2262575306803314,2.1264147422110824,1.5899015448583527
