complex_id	proteins
205	P24279 P29469 P29496 P30665 P38132 P40359 P53091 Q03406 Q08032 Q12146 Q12488
206	P24279 P29469 P29496 P30665 P38132 P53091
208	P25293 P25342 P32457 P32458 P32468 P53890 Q07657 Q12263
209	P25298 P25299 P39081 Q08685
210	P25298 P25299 P39081 Q08685 Q99383
211	P25342 P32457 P32458 P32468 Q07657
212	P25359 P38792 P46948 P48240 P53256 P53859 Q05636 Q08162 Q08285 Q12149 Q12277
213	P25359 P38792 P46948 P48240 P53256 P53859 Q05636 Q08162 Q08285 Q12277
215	P25554 P25649 P32494 Q02336 Q03330 Q12433
216	P25559 P38251 P38629 P38877 P40339 P40348 P49956
217	P25569 P38263 P40208 P40492 P40547 P53076 Q12508
223	P25574 P36039 P40540 P47133 P53073 Q12431
224	P25583 P38236 P40167 P41833 P53185
225	P25604 P42939 Q02767 Q99176
228	P25635 P40362 Q02354 Q05946 Q06078 Q12220
231	P25648 P38931 P39073 P47821
233	P25694 P32628 P54860
234	P25694 P33755 P53044
237	P25694 P33755 Q04311
238	P26309 P26449 P40958 P47074
240	P27351 P38065 Q00381 Q99186
246	P28496 P38703 Q03579
248	P29468 P32598 P35728 P36104 P39927 P42073 P42841 P45976 P53538 Q01329 Q06102 Q06224 Q06632 Q08553 Q12102
249	P30771 P38798 P48412
251	P31109 P32854 Q03322 Q04338
252	P31109 P32867 P40357
254	P31109 P39926 P40357
255	P31109 Q03322 Q04338 Q08144
256	P31376 P35817 P38326 P53201 P53930 P60010 P80428 Q03388 Q03433 Q03940 Q05471 Q06707 Q12464 Q12509
261	P31688 P38426 Q00764
262	P31688 P38427 Q00764
263	P32074 P40509 P41810 P41811 P43621 P53600 P53622
265	P32345 P38193 P40164
268	P32367 P33339 P34111 Q06339 Q12308 Q12415
269	P32381 P33204 P38328 P40518 P47117 P53731 Q05933
270	P32389 P40573 Q03081
271	P32389 P40573 Q12041
273	P32504 P35203 P40969 P52286
274	P32521 P32790 P39013
276	P32598 P36047 P43587
277	P32600 P38873 P41318 Q08921
278	P32600 P40061 P41318 P47041 Q04749 Q08236
280	P32613 P32893 P36149 P38334 Q03337 Q03630 Q03660 Q03784 Q04183 Q99394
282	P32629 P39107 P46985 P47124 P50108
283	P32641 P38251 P38629 P40339 P40348
285	P32797 P38960 Q07921
289	P32833 P38826 P50874 P54784 P54790 P54791
291	P32854 P36015 Q03322 Q04338
292	P32867 P33328 P40357
293	P32867 P33328 Q04359
296	P32899 P47083 P53941
297	P32908 P40541 P47037 Q12158
299	P32912 P36015 Q04338 Q12241
300	P32912 Q04338 Q12241 Q12255
301	P32913 P34110 P38759 P40335 Q92331
303	P33328 P39926 P40357
304	P33328 Q03322 Q04338 Q08144
305	P33420 P36224 P38696 Q04549 Q07887
308	P33891 P53847 Q12745
311	P33895 P40014 P40460 Q04477
315	P34252 P47027 P53135
317	P35169 P38873 P41318 Q08921
319	P35181 P36000 P38700 Q12028
320	P35181 P36000 Q00776 Q12028
321	P35189 P41895 P41896
333	P36104 P38123 P38337 P38827 P39706 P43132 Q03012 Q03323
335	P36116 P39904 P47061 Q12071
336	P36118 P53131 Q06411
341	P36149 P38334 P46944 Q03337 Q03630 Q03784 Q99394
342	P36149 P38334 Q03337 Q03630 Q03784 Q99394
345	P38153 P46682 P47064 Q08951
354	P38251 P38629 P38630 P40339 P40348
355	P38251 P38629 P40339 P40348 Q12050
360	P38313 P53298 Q02732 Q06675
361	P38316 Q03818 Q12380
362	P38324 P38850 Q12098
363	P38351 P38439 P53064 P89105 Q06697
364	P38632 P40026 P43124 Q03718 Q05541 Q07913 Q08204 Q12749
365	P38751 P38957 P40465 Q12318
